campaign_id,concept_id,title,territory,lens,archetype,problem_hypothesis,buyer_hypothesis,proposed_mechanism,why_now,ai_substitution_class,ai_substitution_label,ai_resistance_score,structural_concept_score,evidence_backed_venture_score,venture_score,demand_score,distribution_score,validation_speed_score,margin_score,defensibility_score,originality_score,evidence_groups,verified_evidence_count,status,status_meaning,current_stage,passed_dedup,passed_ai_filter,passed_structural_filter,entered_shortlist,tournament_position,finalist,rejection_stage,rejection_reason,blockers,missing_evidence,next_action,synthetic_or_real
e97858e1417d4d2682c44a7974da0523,a2bb5fc04d6a4db599e79318447487cc,Chat genérico que genera contenido para educación,education,ENTERTAINMENT_PLUS_UTILITY,PROSUMER_PRODUCT,"HIPÓTESIS: la gente en 'Educación' necesita contenido o respuestas genéricas sobre el tema (Aprender, evaluar y acreditar habilidades fuera de los caminos formales.).",HIPÓTESIS (no evidencia): persona interesada en 'Educación' que hoy usa una IA generalista gratuita. PENDIENTE de investigación.,"Un chat que genera contenido e informes genéricos a partir de la información que el cliente pega: el cliente podría obtener el mismo resultado pegando su información en ChatGPT, Gemini o Claude directamente.",La proliferación de IA generalista hace trivial generar contenido genérico.,COMMODITY_WRAPPER,COMMODITY_WRAPPER,,34.15,0.0,34.15,0.0,0.0,70.0,75.0,13.5,54.24,0,0,NEEDS_REFORMULATION,"Dirección interesante, pero todavía no es una oportunidad concreta.",phase1,yes,no,no,no,,no,,"patrón interesante pero todavía no es una oportunidad concreta: falta Nombre específico, falta Usuario, falta Comprador, falta Situación",,"specific_name, user, buyer, situation, observable_problem, current_alternative, economic_or_time_cost, concrete_deliverable",generar reformulaciones específicas y completar el Opportunity Brief,synthetic
e97858e1417d4d2682c44a7974da0523,ce875704f8cc4048bcfafe68056c06f7,Chat genérico que genera contenido para trabajo invisible y administrativo,invisible_admin_work,ENTERTAINMENT_PLUS_UTILITY,PROSUMER_PRODUCT,"HIPÓTESIS: la gente en 'Trabajo invisible y administrativo' necesita contenido o respuestas genéricas sobre el tema (Horas que los profesionales pierden en papeleo, coordinación, seguimiento y gestión que nadie ve ni factura.).",HIPÓTESIS (no evidencia): persona interesada en 'Trabajo invisible y administrativo' que hoy usa una IA generalista gratuita. PENDIENTE de investigación.,"Un chat que genera contenido e informes genéricos a partir de la información que el cliente pega: el cliente podría obtener el mismo resultado pegando su información en ChatGPT, Gemini o Claude directamente.",La proliferación de IA generalista hace trivial generar contenido genérico.,COMMODITY_WRAPPER,COMMODITY_WRAPPER,,37.48,0.0,37.48,0.0,0.0,70.0,75.0,13.5,64.1,0,0,NEEDS_REFORMULATION,"Dirección interesante, pero todavía no es una oportunidad concreta.",phase1,yes,no,no,no,,no,,"patrón interesante pero todavía no es una oportunidad concreta: falta Nombre específico, falta Usuario, falta Comprador, falta Situación",,"specific_name, user, buyer, situation, observable_problem, current_alternative, economic_or_time_cost, concrete_deliverable",generar reformulaciones específicas y completar el Opportunity Brief,synthetic
e97858e1417d4d2682c44a7974da0523,515022beeb4b4e75a14ce4d7ba1d3bac,Chat genérico que genera contenido para información difícil de verificar,hard_to_verify_info,ENTERTAINMENT_PLUS_UTILITY,PROSUMER_PRODUCT,"HIPÓTESIS: la gente en 'Información difícil de verificar' necesita contenido o respuestas genéricas sobre el tema (Afirmaciones, certificados, CVs, reseñas o historiales que son caros o imposibles de comprobar con los medios actuales.).",HIPÓTESIS (no evidencia): persona interesada en 'Información difícil de verificar' que hoy usa una IA generalista gratuita. PENDIENTE de investigación.,"Un chat que genera contenido e informes genéricos a partir de la información que el cliente pega: el cliente podría obtener el mismo resultado pegando su información en ChatGPT, Gemini o Claude directamente.",La proliferación de IA generalista hace trivial generar contenido genérico.,WEAK_DIFFERENTIATION,WEAK_DIFFERENTIATION,,39.0,0.0,39.0,0.0,0.0,70.0,75.0,36.5,66.33,0,0,NEEDS_REFORMULATION,"Dirección interesante, pero todavía no es una oportunidad concreta.",phase1,yes,no,no,no,,no,,"patrón interesante pero todavía no es una oportunidad concreta: falta Nombre específico, falta Usuario, falta Comprador, falta Situación",,"specific_name, user, buyer, situation, observable_problem, current_alternative, economic_or_time_cost, concrete_deliverable",generar reformulaciones específicas y completar el Opportunity Brief,synthetic
e97858e1417d4d2682c44a7974da0523,3c093fa445b84cf9a7b343d776f9f1f5,Pagar por resultado para nuevos comportamientos humanos,new_human_behaviors,PAY_FOR_OUTCOME,SOFTWARE_ENABLED_SERVICE,"En 'Nuevos comportamientos humanos' (Comportamientos que están apareciendo o cambiando (trabajo híbrido, creación de contenido, uso de IA) y crean necesidades que antes no existían.) existe una tensión hipotética: La IA está cambiando cómo la gente trabaja, estudia y decide: cada cambio nuevo es un territorio sin dueño. La hipótesis de problema debe validarse con una misión de investigación; no se asume demanda.","HIPÓTESIS (no evidencia): profesional o pequeña organización que sufre 'nuevos comportamientos humanos' (comportamientos que están apareciendo o cambiando (trabajo híbrido, creación de contenido, uso de ia) y crean necesidades que antes no existían.) y ya dedica tiempo o dinero a resolverlo a mano. PENDIENTE de investigación con misión para confirmar comprador real.","El cliente paga solo cuando se produce el resultado acordado, no por el tiempo o el intento. aplicado al territorio 'Nuevos comportamientos humanos': un servicio/activo basado en el arquetipo servicio habilitado por software que resuelve la tensión concreto sin prometer resultados no verificables.","La IA está cambiando cómo la gente trabaja, estudia y decide: cada cambio nuevo es un territorio sin dueño.",DEFENSIBLE_WORKFLOW,HYPOTHESIS_DEFENSIBLE_WORKFLOW,,47.67,0.0,47.67,0.0,0.0,70.0,60.0,68.0,75.18,0,0,NEEDS_REFORMULATION,"Dirección interesante, pero todavía no es una oportunidad concreta.",phase1,yes,no,no,no,,no,,"patrón interesante pero todavía no es una oportunidad concreta: falta Nombre específico, falta Usuario, falta Comprador, falta Situación",,"specific_name, user, buyer, situation, observable_problem, current_alternative, economic_or_time_cost, concrete_deliverable",generar reformulaciones específicas y completar el Opportunity Brief,synthetic
e97858e1417d4d2682c44a7974da0523,192db4ad3b0b403f9eba412d5db00def,Activo ocioso a ingreso para nuevos comportamientos humanos,new_human_behaviors,UNUSED_ASSET_TO_INCOME,IDLE_ASSET_INCOME,"En 'Nuevos comportamientos humanos' (Comportamientos que están apareciendo o cambiando (trabajo híbrido, creación de contenido, uso de IA) y crean necesidades que antes no existían.) existe una tensión hipotética: La IA está cambiando cómo la gente trabaja, estudia y decide: cada cambio nuevo es un territorio sin dueño. La hipótesis de problema debe validarse con una misión de investigación; no se asume demanda.","HIPÓTESIS (no evidencia): profesional o pequeña organización que sufre 'nuevos comportamientos humanos' (comportamientos que están apareciendo o cambiando (trabajo híbrido, creación de contenido, uso de ia) y crean necesidades que antes no existían.) y ya dedica tiempo o dinero a resolverlo a mano. PENDIENTE de investigación con misión para confirmar comprador real.","Convertir capacidad no utilizada (tiempo, espacio, equipo, datos) en un flujo de ingresos. aplicado al territorio 'Nuevos comportamientos humanos': un servicio/activo basado en el arquetipo activo ocioso a ingreso que resuelve la tensión concreto sin prometer resultados no verificables.","La IA está cambiando cómo la gente trabaja, estudia y decide: cada cambio nuevo es un territorio sin dueño.",DEFENSIBLE_WORKFLOW,HYPOTHESIS_DEFENSIBLE_WORKFLOW,,49.8,0.0,49.8,0.0,0.0,65.0,70.0,69.0,75.77,0,0,NEEDS_REFORMULATION,"Dirección interesante, pero todavía no es una oportunidad concreta.",phase1,yes,no,no,no,,no,,"patrón interesante pero todavía no es una oportunidad concreta: falta Nombre específico, falta Usuario, falta Comprador, falta Situación",,"specific_name, user, buyer, situation, observable_problem, current_alternative, economic_or_time_cost, concrete_deliverable",generar reformulaciones específicas y completar el Opportunity Brief,synthetic
e97858e1417d4d2682c44a7974da0523,3775ad79828c4fa7a2d7fdfcece00264,El cliente es la distribución para trabajo invisible y administrativo,invisible_admin_work,CUSTOMER_BECOMES_DISTRIBUTION,COMMUNITY_PLATFORM,"En 'Trabajo invisible y administrativo' (Horas que los profesionales pierden en papeleo, coordinación, seguimiento y gestión que nadie ve ni factura.) existe una tensión hipotética: Las herramientas generalistas resuelven la escritura, no el papeleo de contexto; el trabajo invisible sigue manual. La hipótesis de problema debe validarse con una misión de investigación; no se asume demanda.","HIPÓTESIS (no evidencia): profesional o pequeña organización que sufre 'trabajo invisible y administrativo' (horas que los profesionales pierden en papeleo, coordinación, seguimiento y gestión que nadie ve ni factura.) y ya dedica tiempo o dinero a resolverlo a mano. PENDIENTE de investigación con misión para confirmar comprador real.","Cada cliente trae al siguiente por el propio uso del producto (compartir, invitar, referir). aplicado al territorio 'Trabajo invisible y administrativo': un servicio/activo basado en el arquetipo plataforma comunitaria que resuelve la tensión concreto sin prometer resultados no verificables.","Las herramientas generalistas resuelven la escritura, no el papeleo de contexto; el trabajo invisible sigue manual.",DATA_ADVANTAGE,HYPOTHESIS_DATA_ADVANTAGE,,61.24,0.0,61.24,0.0,0.0,45.0,75.0,92.5,89.02,0,0,NEEDS_REFORMULATION,"Dirección interesante, pero todavía no es una oportunidad concreta.",phase1,yes,no,no,no,,no,,"patrón interesante pero todavía no es una oportunidad concreta: falta Nombre específico, falta Usuario, falta Comprador, falta Situación",,"specific_name, user, buyer, situation, observable_problem, current_alternative, economic_or_time_cost, concrete_deliverable",generar reformulaciones específicas y completar el Opportunity Brief,synthetic
e97858e1417d4d2682c44a7974da0523,db9769a83c7143a6a405b772ab43c0b8,Servicio humano + IA para trabajo invisible y administrativo,invisible_admin_work,HUMAN_PLUS_AI_SERVICE,VALIDABLE_CONCIERGE,"En 'Trabajo invisible y administrativo' (Horas que los profesionales pierden en papeleo, coordinación, seguimiento y gestión que nadie ve ni factura.) existe una tensión hipotética: Las herramientas generalistas resuelven la escritura, no el papeleo de contexto; el trabajo invisible sigue manual. La hipótesis de problema debe validarse con una misión de investigación; no se asume demanda.","HIPÓTESIS (no evidencia): profesional o pequeña organización que sufre 'trabajo invisible y administrativo' (horas que los profesionales pierden en papeleo, coordinación, seguimiento y gestión que nadie ve ni factura.) y ya dedica tiempo o dinero a resolverlo a mano. PENDIENTE de investigación con misión para confirmar comprador real.",Un profesional respaldado por IA entrega más rápido y barato; la IA sola no basta. aplicado al territorio 'Trabajo invisible y administrativo': un servicio/activo basado en el arquetipo concierge validable que resuelve la tensión concreto sin prometer resultados no verificables.,"Las herramientas generalistas resuelven la escritura, no el papeleo de contexto; el trabajo invisible sigue manual.",DEFENSIBLE_WORKFLOW,HYPOTHESIS_DEFENSIBLE_WORKFLOW,,54.43,0.0,54.43,0.0,0.0,85.0,65.0,66.0,89.34,0,0,NEEDS_REFORMULATION,"Dirección interesante, pero todavía no es una oportunidad concreta.",phase1,yes,no,no,no,,no,,"patrón interesante pero todavía no es una oportunidad concreta: falta Nombre específico, falta Usuario, falta Comprador, falta Situación",,"specific_name, user, buyer, situation, observable_problem, current_alternative, economic_or_time_cost, concrete_deliverable",generar reformulaciones específicas y completar el Opportunity Brief,synthetic
e97858e1417d4d2682c44a7974da0523,6834569edb514d0fba8b048336729b17,Quitar el intermediario para descoordinación entre aplicaciones,app_misalignment,REMOVE_THE_MIDDLEMAN,REVERSE_MARKETPLACE,"En 'Descoordinación entre aplicaciones' (Datos que viven en herramientas distintas y obligan a copiar, pegar y reconciliar a mano entre ellas.) existe una tensión hipotética: Cada empresa usa más SaaS; la descoordinación crece más rápido que las integraciones nativas. La hipótesis de problema debe validarse con una misión de investigación; no se asume demanda.","HIPÓTESIS (no evidencia): profesional o pequeña organización que sufre 'descoordinación entre aplicaciones' (datos que viven en herramientas distintas y obligan a copiar, pegar y reconciliar a mano entre ellas.) y ya dedica tiempo o dinero a resolverlo a mano. PENDIENTE de investigación con misión para confirmar comprador real.","Conectar directamente a quien tiene el problema con quien lo resuelve, eliminando comisiones y opacidad. aplicado al territorio 'Descoordinación entre aplicaciones': un servicio/activo basado en el arquetipo marketplace inverso que resuelve la tensión concreto sin prometer resultados no verificables.",Cada empresa usa más SaaS; la descoordinación crece más rápido que las integraciones nativas.,NETWORK_ADVANTAGE,HYPOTHESIS_NETWORK_ADVANTAGE,,59.22,0.0,59.22,0.0,0.0,45.0,55.0,96.75,88.13,0,0,NEEDS_REFORMULATION,"Dirección interesante, pero todavía no es una oportunidad concreta.",phase1,yes,no,no,no,,no,,"patrón interesante pero todavía no es una oportunidad concreta: falta Nombre específico, falta Usuario, falta Comprador, falta Situación",,"specific_name, user, buyer, situation, observable_problem, current_alternative, economic_or_time_cost, concrete_deliverable",generar reformulaciones específicas y completar el Opportunity Brief,synthetic
e97858e1417d4d2682c44a7974da0523,1073d131b053403ca1e47d994df08853,Entretenimiento + utilidad para descoordinación entre aplicaciones,app_misalignment,ENTERTAINMENT_PLUS_UTILITY,TRANSACTIONAL_PRODUCT,"En 'Descoordinación entre aplicaciones' (Datos que viven en herramientas distintas y obligan a copiar, pegar y reconciliar a mano entre ellas.) existe una tensión hipotética: Cada empresa usa más SaaS; la descoordinación crece más rápido que las integraciones nativas. La hipótesis de problema debe validarse con una misión de investigación; no se asume demanda.","HIPÓTESIS (no evidencia): profesional o pequeña organización que sufre 'descoordinación entre aplicaciones' (datos que viven en herramientas distintas y obligan a copiar, pegar y reconciliar a mano entre ellas.) y ya dedica tiempo o dinero a resolverlo a mano. PENDIENTE de investigación con misión para confirmar comprador real.",Una experiencia entretenida que además produce un resultado útil. aplicado al territorio 'Descoordinación entre aplicaciones': un servicio/activo basado en el arquetipo producto transaccional que resuelve la tensión concreto sin prometer resultados no verificables.,Cada empresa usa más SaaS; la descoordinación crece más rápido que las integraciones nativas.,DEFENSIBLE_WORKFLOW,HYPOTHESIS_DEFENSIBLE_WORKFLOW,,53.82,0.0,53.82,0.0,0.0,65.0,75.0,67.75,83.9,0,0,NEEDS_REFORMULATION,"Dirección interesante, pero todavía no es una oportunidad concreta.",phase1,yes,no,no,no,,no,,"patrón interesante pero todavía no es una oportunidad concreta: falta Nombre específico, falta Usuario, falta Comprador, falta Situación",,"specific_name, user, buyer, situation, observable_problem, current_alternative, economic_or_time_cost, concrete_deliverable",generar reformulaciones específicas y completar el Opportunity Brief,synthetic
e97858e1417d4d2682c44a7974da0523,41bc644e027d49fc930ceb607a74227c,Gemelo digital en vivo para información difícil de verificar,hard_to_verify_info,LIVE_DIGITAL_TWIN,PRO_TOOL,"En 'Información difícil de verificar' (Afirmaciones, certificados, CVs, reseñas o historiales que son caros o imposibles de comprobar con los medios actuales.) existe una tensión hipotética: La IA facilita fabricar contenido creíble; verificar se vuelve más valioso que producir. La hipótesis de problema debe validarse con una misión de investigación; no se asume demanda.","HIPÓTESIS (no evidencia): profesional o pequeña organización que sufre 'información difícil de verificar' (afirmaciones, certificados, cvs, reseñas o historiales que son caros o imposibles de comprobar con los medios actuales.) y ya dedica tiempo o dinero a resolverlo a mano. PENDIENTE de investigación con misión para confirmar comprador real.","Una réplica digital actualizada de un activo físico que permite simular, vigilar y decidir. aplicado al territorio 'Información difícil de verificar': un servicio/activo basado en el arquetipo herramienta para profesionales que resuelve la tensión concreto sin prometer resultados no verificables.",La IA facilita fabricar contenido creíble; verificar se vuelve más valioso que producir.,COMPOUNDING_SYSTEM,HYPOTHESIS_COMPOUNDING_SYSTEM,,61.07,0.0,61.07,0.0,0.0,65.0,75.0,100.0,91.08,0,0,NEEDS_REFORMULATION,"Dirección interesante, pero todavía no es una oportunidad concreta.",phase1,yes,no,no,no,,no,,"patrón interesante pero todavía no es una oportunidad concreta: falta Nombre específico, falta Usuario, falta Comprador, falta Situación",,"specific_name, user, buyer, situation, observable_problem, current_alternative, economic_or_time_cost, concrete_deliverable",generar reformulaciones específicas y completar el Opportunity Brief,synthetic
